z_index,z_obs,tage_gyr,mag_u,mag_b,mag_v,mag_sdss_g,mag_sdss_r
0,0.000001,0.000001,13.434515,13.550780,13.799224,13.629342,13.912572
0,0.000001,0.106199,16.517162,15.905660,15.868175,15.878832,15.868399
0,0.000001,0.212398,17.222174,16.400416,16.363806,16.366654,16.382464
0,0.000001,0.318596,17.693308,16.750857,16.665416,16.698348,16.667826
0,0.000001,0.424795,18.014859,17.019088,16.893562,16.949942,16.881108
0,0.000001,0.530993,18.290058,17.262274,17.077102,17.170829,17.041950
0,0.000001,0.637192,18.526231,17.475444,17.227397,17.360198,17.167681
0,0.000001,0.743390,18.716981,17.659509,17.363948,17.525726,17.286644
0,0.000001,0.849589,18.890612,17.828857,17.486328,17.677552,17.388981
0,0.000001,0.955787,19.032926,17.972795,17.589178,17.807558,17.472405
0,0.000001,1.061986,19.153943,18.083313,17.654104,17.903040,17.516082
0,0.000001,1.168184,19.264886,18.171165,17.687144,17.971394,17.525621
0,0.000001,1.274383,19.376444,18.260280,17.725913,18.041651,17.543446
0,0.000001,1.380581,19.528827,18.425349,17.884280,18.204859,17.697335
0,0.000001,1.486780,19.646128,18.547749,18.000839,18.325364,17.811265
0,0.000001,1.592978,19.746010,18.648341,18.095720,18.423909,17.904369
0,0.000001,1.699176,19.831222,18.729293,18.167993,18.501545,17.973655
0,0.000001,1.805375,19.914560,18.807582,18.236977,18.576210,18.039539
0,0.000001,1.911573,19.989408,18.875805,18.295510,18.640490,18.095087
0,0.000001,2.017772,20.063253,18.943019,18.353163,18.703786,18.149823
0,0.000001,2.123970,20.130376,19.005032,18.407866,18.762762,18.202309
0,0.000001,2.230169,20.198320,19.067499,18.462590,18.821997,18.254704
0,0.000001,2.336367,20.256478,19.117176,18.502364,18.867661,18.291079
0,0.000001,2.442566,20.314147,19.165670,18.540449,18.911924,18.325603
0,0.000001,2.548764,20.370832,19.214526,18.580387,18.957122,18.362520
0,0.000001,2.654963,20.425118,19.264134,18.624296,19.004350,18.404501
0,0.000001,2.761161,20.479963,19.314030,18.668225,19.051746,18.446426
0,0.000001,2.867360,20.530715,19.359343,18.707403,19.094499,18.483513
0,0.000001,2.973558,20.576258,19.398959,18.740813,19.131542,18.514772
0,0.000001,3.079757,20.622091,19.438606,18.774055,19.168524,18.545811
0,0.000001,3.185955,20.666549,19.476852,18.806049,19.204155,18.575677
0,0.000001,3.292153,20.705165,19.509921,18.833977,19.235056,18.601892
0,0.000001,3.398352,20.743912,19.542930,18.861722,19.265838,18.627893
0,0.000001,3.504550,20.782834,19.575909,18.889306,19.296529,18.653701
0,0.000001,3.610749,20.818747,19.607098,18.916287,19.325945,18.679254
0,0.000001,3.716947,20.852510,19.637000,18.942815,19.354439,18.704595
0,0.000001,3.823146,20.886359,19.666870,18.969233,19.382865,18.729802
0,0.000001,3.929344,20.920326,19.696733,18.995558,19.411245,18.754893
0,0.000001,4.035543,20.951892,19.724412,19.019979,19.437559,18.778181
0,0.000001,4.141741,20.981094,19.749960,19.042555,19.461862,18.799725
0,0.000001,4.247940,21.010334,19.775454,19.065021,19.486084,18.821143
0,0.000001,4.354138,21.039630,19.800908,19.087388,19.510241,18.842448
0,0.000001,4.460337,21.069004,19.826337,19.109670,19.534345,18.863650
0,0.000001,4.566535,21.093880,19.848555,19.129727,19.555677,18.882902
0,0.000001,4.672734,21.118446,19.870500,19.149546,19.576751,18.901925
0,0.000001,4.778932,21.143009,19.892390,19.169275,19.597754,18.920849
0,0.000001,4.885131,21.167582,19.914234,19.188924,19.618697,18.939681
0,0.000001,4.991329,21.192177,19.936042,19.208501,19.639588,18.958430
0,0.000001,5.097527,21.215105,19.956162,19.226573,19.658858,18.975755
0,0.000001,5.203726,21.237628,19.975834,19.244222,19.677687,18.992670
0,0.000001,5.309924,21.260158,19.995460,19.261797,19.696457,19.009503
0,0.000001,5.416123,21.282705,20.015049,19.279305,19.715177,19.026259
0,0.000001,5.522321,21.305279,20.034606,19.296751,19.733852,19.042946
0,0.000001,5.628520,21.327907,20.054129,19.314107,19.752468,19.059524
0,0.000001,5.734718,21.350942,20.073418,19.330726,19.770651,19.075177
0,0.000001,5.840917,21.374040,20.092692,19.347292,19.788801,19.090767
0,0.000001,5.947115,21.397211,20.111957,19.363809,19.806925,19.106296
0,0.000001,6.053314,21.420463,20.131221,19.380281,19.825027,19.121770
0,0.000001,6.159512,21.443807,20.150488,19.396715,19.843113,19.137192
0,0.000001,6.265711,21.467251,20.169766,19.413114,19.861189,19.152568
0,0.000001,6.371909,21.488674,20.187183,19.427891,19.877501,19.166416
0,0.000001,6.478108,21.508649,20.203262,19.441500,19.892542,19.179163
0,0.000001,6.584306,21.528664,20.219315,19.455056,19.907545,19.191849
0,0.000001,6.690504,21.548726,20.235346,19.468562,19.922513,19.204479
0,0.000001,6.796703,21.568841,20.251359,19.482022,19.937449,19.217056
0,0.000001,6.902901,21.589015,20.267358,19.495438,19.952358,19.229581
0,0.000001,7.009100,21.609253,20.283347,19.508813,19.967241,19.242058
0,0.000001,7.115298,21.629360,20.299765,19.522986,19.982720,19.255427
0,0.000001,7.221497,21.649138,20.317049,19.538784,19.999407,19.270613
0,0.000001,7.327695,21.668985,20.334355,19.554580,20.016106,19.285788
0,0.000001,7.433894,21.688908,20.351685,19.570376,20.032819,19.300955
0,0.000001,7.540092,21.708913,20.369045,19.586177,20.049552,19.316117
0,0.000001,7.646291,21.729006,20.386439,19.601985,20.066306,19.331277
0,0.000001,7.752489,21.749193,20.403870,19.617804,20.083087,19.346439
0,0.000001,7.858688,21.769480,20.421342,19.633637,20.099897,19.361604
0,0.000001,7.964886,21.789148,20.438014,19.648572,20.115865,19.375847
0,0.000001,8.071085,21.806047,20.451386,19.659917,20.128407,19.386429
0,0.000001,8.177283,21.822987,20.464747,19.671231,20.140927,19.396976
0,0.000001,8.283481,21.839971,20.478098,19.682516,20.153430,19.407487
0,0.000001,8.389680,21.857004,20.491443,19.693773,20.165916,19.417966
0,0.000001,8.495878,21.874089,20.504782,19.705004,20.178388,19.428413
0,0.000001,8.602077,21.891229,20.518119,19.716211,20.190847,19.438829
0,0.000001,8.708275,21.908430,20.531455,19.727396,20.203295,19.449217
0,0.000001,8.814474,21.925693,20.544792,19.738559,20.215734,19.459578
0,0.000001,8.920672,21.942907,20.558106,19.749734,20.228163,19.469964
0,0.000001,9.026871,21.958772,20.571110,19.761278,20.240567,19.480952
0,0.000001,9.133069,21.974683,20.584118,19.772809,20.252967,19.491922
0,0.000001,9.239268,21.990643,20.597129,19.784328,20.265364,19.502875
0,0.000001,9.345466,22.006654,20.610148,19.795836,20.277760,19.513813
0,0.000001,9.451665,22.022720,20.623174,19.807336,20.290157,19.524736
0,0.000001,9.557863,22.038844,20.636211,19.818829,20.302556,19.535647
0,0.000001,9.664062,22.055028,20.649259,19.830315,20.314959,19.546545
0,0.000001,9.770260,22.071277,20.662320,19.841797,20.327368,19.557434
0,0.000001,9.876458,22.087592,20.675397,19.853275,20.339783,19.568313
0,0.000001,9.982657,22.103978,20.688491,19.864751,20.352207,19.579184
0,0.000001,10.088855,22.118419,20.699719,19.874376,20.362790,19.588197
0,0.000001,10.195054,22.132503,20.710575,19.883624,20.373003,19.596827
0,0.000001,10.301252,22.146623,20.721427,19.892853,20.383205,19.605435
0,0.000001,10.407451,22.160782,20.732275,19.902066,20.393398,19.614023
0,0.000001,10.513649,22.174982,20.743120,19.911263,20.403582,19.622592
1,0.010102,0.000001,33.453574,33.566264,33.814399,33.643449,33.928093
1,0.010102,0.104900,36.568611,35.933808,35.884381,35.897527,35.882331
1,0.010102,0.209799,37.294210,36.431665,36.379738,36.386140,36.396157
